,name,continent,region
0,Aruba,North America,Caribbean
1,Afghanistan,Asia,Southern and Central Asia
2,Angola,Africa,Central Africa
3,Anguilla,North America,Caribbean
4,Albania,Europe,Southern Europe
5,Andorra,Europe,Southern Europe
6,Netherlands Antilles,North America,Caribbean
7,united Arab Emirates,Asia,Middle East
8,Argentina,South America,South America
9,Armenia,Asia,Middle East
10,American Samoa,Oceania,Polynesia
11,Antarctica,Antarctica,Antarctica
12,French Southern territories,Antarctica,Antarctica
13,Antigua and Barbuda,North America,Caribbean
14,Australia,Oceania,Australia and New Zealand
15,Austria,Europe,Western Europe
16,Azerbaijan,Asia,Middle East
17,Burundi,Africa,Eastern Africa
18,Belgium,Europe,Western Europe
19,Benin,Africa,Western Africa
20,Burkina Faso,Africa,Western Africa
21,Bangladesh,Asia,Southern and Central Asia
22,Bulgaria,Europe,Eastern Europe
23,Bahrain,Asia,Middle East
24,Bahamas,North America,Caribbean
25,Bosnia and Herzegovina,Europe,Southern Europe
26,Belarus,Europe,Eastern Europe
27,Belize,North America,Central America
28,Bermuda,North America,North America
29,Bolivia,South America,South America
30,Brazil,South America,South America
31,Barbados,North America,Caribbean
32,Brunei,Asia,Southeast Asia
33,Bhutan,Asia,Southern and Central Asia
34,Bouvet Island,Antarctica,Antarctica
35,Botswana,Africa,Southern Africa
36,Central African Republic,Africa,Central Africa
37,Canada,North America,North America
38,Cocos (Keeling) Islands,Oceania,Australia and New Zealand
39,Switzerland,Europe,Western Europe
40,Chile,South America,South America
41,China,Asia,Eastern Asia
42,Cote dIvoire,Africa,Western Africa
43,Cameroon,Africa,Central Africa
44,"Congo, The Democratic Republic of the",Africa,Central Africa
45,Congo,Africa,Central Africa
46,Cook Islands,Oceania,Polynesia
47,Colombia,South America,South America
48,Comoros,Africa,Eastern Africa
49,Cape Verde,Africa,Western Africa
50,Costa Rica,North America,Central America
51,Cuba,North America,Caribbean
52,Christmas Island,Oceania,Australia and New Zealand
53,Cayman Islands,North America,Caribbean
54,Cyprus,Asia,Middle East
55,Czech Republic,Europe,Eastern Europe
56,Germany,Europe,Western Europe
57,Djibouti,Africa,Eastern Africa
58,Dominica,North America,Caribbean
59,Denmark,Europe,Nordic Countries
60,Dominican Republic,North America,Caribbean
61,Algeria,Africa,Northern Africa
